Model,MAE,RMSE,R2,MAPE,Train Time (s)
XGBoost,0.012786733042806876,0.03267589493024165,0.977835833007152,18.633633301475967,49.2
Random Forest,0.013019353237250514,0.03433987654583167,0.9755209876838424,19.70738247147334,1148.8
SVR (RBF),0.016989847367814028,0.0382342324881692,0.9696540187581941,22.537967844920857,1007.8
Linear Regression,0.029717763285026826,0.050776427370119524,0.9464794320900208,42.244303178599374,17.6
Linear Regression,0.029717763285026826,0.050776427370119524,0.9464794320900208,42.244303178599374,16.3
Ridge Regression,0.02971786726760861,0.050776593614417435,0.9464790816319733,42.244312001901164,2.8
